"image","xmin","ymin","xmax","ymax","label"
"61.jpeg",13.835599505562424,56.674395161290334,244.5938320843634,164.6423891129033,"pushup"
"62.jpeg",34.359065976514216,62.684356122211895,222.41905033220024,144.16724268122675,"pushup"
"63.jpeg",66.69901112484548,47.224934895833336,270.08899876390603,164.09723545477644,"pushup"
"64.jpeg",13.02145781829419,90.2090135261194,253.1075015451174,155.50652256296644,"pushup"
"65.jpeg",57.95204341779975,100.01036100139405,201.74199918881337,154.41820835269516,"pushup"
"66.jpeg",12.855956427688504,0.25510519801980197,219.94815648176763,192.27428836633663,"pushup"
"67.jpeg",59.07611634734239,53.8125,239.80125927070458,153.7435844370861,"pushup"
"68.jpeg",27.43174926606922,72.76657615009293,233.52506470179236,131.2601940055762,"pushup"
"7.jpeg",0.7003437886279358,24.401947962555067,428.2396283992584,208.35262940528634,"pushup"
"69.jpeg",57.633362948084056,57.099805413568774,226.2007252394932,134.35873605947955,"pushup"
"70.jpeg",42.70608003708281,64.37044701986756,266.9658722187886,161.72723509933775,"pushup"
"71.jpeg",50.544605608776266,0.225,283.7774258343634,166.05865384615385,"pushup"
"72.jpeg",18.541409147095177,51.12086092715233,228.60398640296663,130.20550496688742,"pushup"
"73.jpeg",58.22002472187886,35.79532284768212,283.6227209517923,156.317880794702,"pushup"
"76.jpeg",62.01623338998764,64.20647689768977,202.60387051915944,134.9056311881188,"pushup"
"74.jpeg",43.32090157601978,10.118506588152986,244.17598887515453,172.42671408582092,"pushup"
"75.jpeg",66.07180450401731,28.824519230769234,191.46169557323856,156.3129807692308,"pushup"
"77.jpeg",22.49078723733004,21.26819105691057,223.90255137515453,179.88950711382117,"pushup"
"78.jpeg",36.844773640296665,56.22817437267658,240.12838960135971,157.04240241635688,"pushup"
"79.jpeg",92.48062809023486,70.11275603991596,284.51020743201485,126.57467830882354,"pushup"
"8.jpg",46.8923825710754,121.5124080882353,1088.4328646477131,499.6340073529412,"pushup"
"80.jpeg",26.799916949938197,5.879924711221122,217.80841509579727,187.08839985561056,"pushup"
"81.jpeg",81.16646708899876,5.1427980132450335,257.0172473733004,168,"pushup"
"82.jpeg",55.87526073856613,2.7511635638297873,233.1556126390606,153.32613031914892,"pushup"
"84.jpeg",15.732747798207663,36.33360980308219,289.7547126081582,141.5378852739726,"pushup"
"83.jpeg",27.54832837608158,64.70600328947368,231.56404994592086,151.10495476973685,"pushup"
"86.jpeg",24.007038341527988,66.02966031580938,189.85039830748866,166.5068610533283,"pushup"
"85.jpeg",22.80931802379481,2.5770650984682715,271.51736325710755,160.36740973741794,"pushup"
"87.jpeg",125.50795735475896,45.807119205298015,292.696423053152,158.966059602649,"pushup"
"88.jpeg",34.07898930006181,19.873557692307692,295.4527821770705,167.30336538461538,"pushup"
"89.jpeg",54.84201174289246,86.67135761589404,264.2295658220025,134.6833609271523,"pushup"
"90.jpeg",35.4911976591471,19.622945361226613,254.42547705500618,154.66258445945948,"pushup"
"9.jpg",402.5803461063041,311.670524691358,1626.5451174289246,859.5389660493827,"pushup"
"91.jpeg",1.4422850355377008,14.735186589805824,279.141175448084,145.3709723907767,"pushup"
"92.jpeg",7.952025558774834,10.786444544251134,98.99468387831125,198.83287041414525,"pushup"
"93.jpeg",28.51773022249691,76.55716443607069,254.3032341239184,139.14771472193348,"pushup"
"94.jpeg",16.212868896786155,4.342210734200743,261.2210531906675,161.71811832016726,"pushup"
"95.jpeg",55.72526363566131,70.13706726301115,258.8920300911619,137.107828473513,"pushup"
"96.jpeg",5.509029279975277,17.158980263157897,284.57376004326323,160.77473684210528,"pushup"
"98.jpeg",26.95747064276885,71.38348509933775,227.31333050061804,168,"pushup"
"97.jpeg",59.29581273176761,52.27527445399628,193.19472342398024,108.0636471886617,"pushup"
"99.jpeg",4.31672010197775,31.668750000000003,263.16256083899873,159.65913461538463,"pushup"
